Delivery Start (CET);Delivery End (CET);NO1 Accepted Down Volume (MW);NO1 Accepted Up Volume (MW);NO1 Activated Down Volume (MW);NO1 Activated Up Volume (MW);NO1 Down Price (EUR);NO1 Imbalance Price (EUR);NO1 Up Price (EUR);NO2 Accepted Down Volume (MW);NO2 Accepted Up Volume (MW);NO2 Activated Down Volume (MW);NO2 Activated Up Volume (MW);NO2 Down Price (EUR);NO2 Imbalance Price (EUR);NO2 Up Price (EUR);NO3 Accepted Down Volume (MW);NO3 Accepted Up Volume (MW);NO3 Activated Down Volume (MW);NO3 Activated Up Volume (MW);NO3 Down Price (EUR);NO3 Imbalance Price (EUR);NO3 Up Price (EUR);NO4 Accepted Down Volume (MW);NO4 Accepted Up Volume (MW);NO4 Activated Down Volume (MW);NO4 Activated Up Volume (MW);NO4 Down Price (EUR);NO4 Imbalance Price (EUR);NO4 Up Price (EUR);NO5 Accepted Down Volume (MW);NO5 Accepted Up Volume (MW);NO5 Activated Down Volume (MW);NO5 Activated Up Volume (MW);NO5 Down Price (EUR);NO5 Imbalance Price (EUR);NO5 Up Price (EUR)
01.01.2024 00:00:00;01.01.2024 00:15:00;0;683;0;0;53.79;55;55;1191;5708;0;0;53.79;55;55;1632;1623;0;245;29.56;55;55;1482;934;0;192;29.56;35.59;35.59;445;3695;0;0;55.41;55.41;55.41
01.01.2024 00:15:00;01.01.2024 00:30:00;0;683;0;100;53.79;55;55;1191;5708;0;0;53.79;55;55;1632;1623;0;298;29.56;55;55;1482;934;0;192;29.56;35.59;35.59;445;3705;0;0;55.41;55.41;55.41
01.01.2024 00:30:00;01.01.2024 00:45:00;0;683;0;100;53.79;55;55;1191;5708;0;0;53.79;55;55;1632;1623;0;298;29.56;55;55;1482;965;0;192;29.56;35.59;35.59;445;3715;0;0;55.41;55.41;55.41
01.01.2024 00:45:00;01.01.2024 01:00:00;0;683;0;100;53.79;55;55;1191;5708;0;0;53.79;55;55;1632;1623;0;298;29.56;55;55;1482;965;0;192;29.56;35.59;35.59;445;3715;0;0;55.41;55.41;55.41
01.01.2024 01:00:00;01.01.2024 01:15:00;0;869;0;0;48.98;53.87;53.87;910;6152;0;0;48.98;53.87;53.87;1618;1623;0;245;28.46;53.87;53.87;1434;1128;0;255;28.46;35.59;35.59;452;3851;0;0;53.41;53.87;53.87
01.01.2024 01:15:00;01.01.2024 01:30:00;0;869;0;0;48.98;53.87;53.87;910;6152;0;0;48.98;53.87;53.87;1618;1623;0;245;28.46;53.87;53.87;1434;1128;0;255;28.46;35.59;35.59;452;3851;0;0;53.41;53.87;53.87
01.01.2024 01:30:00;01.01.2024 01:45:00;0;869;0;0;48.98;53.87;53.87;910;6152;0;0;48.98;53.87;53.87;1618;1623;0;245;28.46;53.87;53.87;1434;1128;0;255;28.46;35.59;35.59;452;3851;0;0;53.41;53.87;53.87
01.01.2024 01:45:00;01.01.2024 02:00:00;0;869;0;0;48.98;53.87;53.87;910;6152;0;0;48.98;53.87;53.87;1618;1623;0;245;28.46;53.87;53.87;1434;1128;0;255;28.46;35.59;35.59;452;3851;0;0;53.41;53.87;53.87
01.01.2024 02:00:00;01.01.2024 02:15:00;0;869;0;0;27.45;53.87;53.87;612;6649;0;0;27.45;53.87;53.87;1618;1623;0;245;26.66;53.87;53.87;1254;1251;0;275;26.66;35.59;35.59;428;3884;0;0;52.03;53.87;53.87
01.01.2024 02:15:00;01.01.2024 02:30:00;0;869;0;0;27.45;53.87;53.87;612;6649;0;0;27.45;53.87;53.87;1618;1623;0;245;26.66;53.87;53.87;1132;1374;0;278;26.66;35.59;35.59;428;3884;0;0;52.03;53.87;53.87
01.01.2024 02:30:00;01.01.2024 02:45:00;0;869;0;0;27.45;53.87;53.87;612;6649;0;0;27.45;53.87;53.87;1618;1623;0;166;26.66;53.87;53.87;1012;1494;0;278;26.66;35.59;35.59;428;3884;0;0;52.03;53.87;53.87
01.01.2024 02:45:00;01.01.2024 03:00:00;0;869;0;0;27.45;53.87;53.87;612;6649;0;0;27.45;53.87;53.87;1618;1623;0;166;26.66;53.87;53.87;892;1614;0;278;26.66;35.59;35.59;428;3884;0;0;52.03;53.87;53.87
01.01.2024 03:00:00;01.01.2024 03:15:00;0;869;0;0;24.48;24.48;24.48;611;6649;0;0;24.48;24.48;24.48;1609;1633;0;0;24.48;24.48;24.48;763;1966;0;0;24.48;24.48;24.48;533;3896;0;0;50.74;50.74;50.74
01.01.2024 03:15:00;01.01.2024 03:30:00;0;869;0;0;24.48;24.48;24.48;611;6649;0;0;24.48;24.48;24.48;1609;1633;0;0;24.48;24.48;24.48;763;1966;0;0;24.48;24.48;24.48;533;3896;0;0;50.74;50.74;50.74
01.01.2024 03:30:00;01.01.2024 03:45:00;0;869;0;0;24.48;24.48;24.48;611;6649;0;0;24.48;24.48;24.48;1609;1633;0;0;24.48;24.48;24.48;763;1966;0;0;24.48;24.48;24.48;533;3896;0;0;50.74;50.74;50.74
01.01.2024 03:45:00;01.01.2024 04:00:00;0;869;0;0;24.48;24.48;24.48;611;6649;0;0;24.48;24.48;24.48;1609;1633;0;0;24.48;24.48;24.48;763;1966;0;0;24.48;24.48;24.48;533;3896;0;0;50.74;50.74;50.74
01.01.2024 04:00:00;01.01.2024 04:15:00;0;869;0;0;24.01;36;36;605;6649;0;0;24.01;36;36;1603;1633;0;0;24.01;36;36;578;2203;0;0;24.01;36;36;520;3910;0;0;49.84;49.84;49.84
01.01.2024 04:15:00;01.01.2024 04:30:00;0;869;0;0;24.01;36;36;605;6649;0;0;24.01;36;36;1603;1633;0;0;24.01;36;36;578;2203;0;313;24.01;36;36;520;3910;0;0;49.84;49.84;49.84
01.01.2024 04:30:00;01.01.2024 04:45:00;0;869;0;0;24.01;36;36;605;6649;0;0;24.01;36;36;1603;1633;0;25;24.01;36;36;578;2203;0;497;24.01;36;36;520;3910;0;0;49.84;49.84;49.84
01.01.2024 04:45:00;01.01.2024 05:00:00;0;869;0;0;24.01;36;36;605;6649;0;0;24.01;36;36;1603;1633;0;25;24.01;36;36;578;2203;0;497;24.01;36;36;520;3910;0;0;49.84;49.84;49.84
01.01.2024 05:00:00;01.01.2024 05:15:00;0;650;0;0;21.23;36;36;589;7020;0;0;21.23;36;36;1614;2075;0;25;21.23;36;36;523;2359;0;394;21.23;36;36;495;4002;0;0;53.77;53.77;53.77
01.01.2024 05:15:00;01.01.2024 05:30:00;0;650;0;0;21.23;36;36;589;7020;0;0;21.23;36;36;1614;2075;0;25;21.23;36;36;523;2359;0;394;21.23;36;36;495;4002;0;0;53.77;53.77;53.77
01.01.2024 05:30:00;01.01.2024 05:45:00;0;650;0;0;21.23;36;36;589;7020;0;0;21.23;36;36;1614;2075;0;25;21.23;36;36;523;2359;0;394;21.23;36;36;495;4002;0;0;53.77;53.77;53.77
01.01.2024 05:45:00;01.01.2024 06:00:00;0;650;0;0;21.23;36;36;589;7020;0;0;21.23;36;36;1614;2075;0;25;21.23;36;36;523;2359;0;394;21.23;36;36;495;4002;0;0;53.77;53.77;53.77
01.01.2024 06:00:00;01.01.2024 06:15:00;0;539;0;0;22.62;40.11;40.11;608;7015;0;0;22.62;40.11;40.11;1598;2075;0;25;22.62;40.11;40.11;612;2262;0;305;22.62;40.11;40.11;528;3965;0;0;57.07;57.07;57.07
01.01.2024 06:15:00;01.01.2024 06:30:00;0;539;0;0;22.62;40.11;40.11;608;7015;0;0;22.62;40.11;40.11;1598;2075;0;25;22.62;40.11;40.11;612;2262;0;455;22.62;40.11;40.11;528;3965;0;0;57.07;57.07;57.07
01.01.2024 06:30:00;01.01.2024 06:45:00;0;539;0;0;22.62;40.11;40.11;608;7015;0;0;22.62;40.11;40.11;1598;2075;0;140;22.62;40.11;40.11;612;2262;0;455;22.62;40.11;40.11;528;3965;0;0;57.07;57.07;57.07
01.01.2024 06:45:00;01.01.2024 07:00:00;0;539;0;0;22.62;40.11;40.11;608;7015;0;0;22.62;40.11;40.11;1598;2075;0;140;22.62;40.11;40.11;612;2262;0;455;22.62;40.11;40.11;528;3965;0;0;57.07;57.07;57.07
01.01.2024 07:00:00;01.01.2024 07:15:00;0;527;0;0;25.04;44;44;619;7010;0;0;25.04;44;44;1616;2071;0;205;25.04;44;44;1139;1713;0;379;25.04;36;36;423;3958;0;0;57.22;57.22;57.22
01.01.2024 07:15:00;01.01.2024 07:30:00;0;527;0;0;25.04;44;44;619;7010;0;0;25.04;44;44;1616;2071;0;205;25.04;44;44;1139;1713;0;229;25.04;36;36;423;3958;0;0;57.22;57.22;57.22
01.01.2024 07:30:00;01.01.2024 07:45:00;0;527;0;0;25.04;44;44;619;7010;0;0;25.04;44;44;1616;2071;0;205;25.04;44;44;1139;1713;0;229;25.04;36;36;423;3944;0;0;57.22;57.22;57.22
01.01.2024 07:45:00;01.01.2024 08:00:00;0;527;0;0;25.04;44;44;619;7010;0;0;25.04;44;44;1616;2071;0;205;25.04;44;44;1139;1713;0;229;25.04;36;36;423;3930;0;0;57.22;57.22;57.22
01.01.2024 08:00:00;01.01.2024 08:15:00;0;584;0;0;26.24;44;44;613;6968;0;0;26.24;44;44;1635;2035;0;205;26.24;44;44;1205;1543;0;198;26.24;31;31;221;4157;0;0;46.76;46.76;46.76
01.01.2024 08:15:00;01.01.2024 08:30:00;0;584;0;0;26.24;44;44;613;6968;0;0;26.24;44;44;1635;2035;0;205;26.24;44;44;1205;1543;0;198;26.24;31;31;235;4143;0;0;46.76;46.76;46.76
01.01.2024 08:30:00;01.01.2024 08:45:00;0;584;0;0;26.24;44;44;613;6968;0;0;26.24;44;44;1635;2035;0;205;26.24;44;44;1205;1543;0;80;26.24;31;31;249;4129;0;0;46.76;46.76;46.76
01.01.2024 08:45:00;01.01.2024 09:00:00;0;584;0;0;26.24;44;44;613;6968;0;0;26.24;44;44;1635;2035;0;205;26.24;44;44;1280;1468;0;65;26.24;31;31;249;4129;0;0;46.76;46.76;46.76
01.01.2024 09:00:00;01.01.2024 09:15:00;0;740;0;0;32.21;44;44;691;6944;0;0;32.21;44;44;1655;1949;0;153;32.21;44;44;1905;1025;0;23;30.93;44;44;273;4178;0;0;46.89;46.89;46.89
01.01.2024 09:15:00;01.01.2024 09:30:00;0;740;0;0;32.21;44;44;691;6944;0;0;32.21;44;44;1655;1949;0;153;32.21;44;44;1905;1025;0;23;30.93;44;44;273;4178;0;0;46.89;46.89;46.89
01.01.2024 09:30:00;01.01.2024 09:45:00;0;740;0;0;32.21;44;44;691;6944;0;0;32.21;44;44;1655;1949;0;153;32.21;44;44;1905;1025;0;23;30.93;44;44;273;4178;0;0;46.89;46.89;46.89
01.01.2024 09:45:00;01.01.2024 10:00:00;0;740;0;0;32.21;44;44;691;6944;0;0;32.21;44;44;1655;1949;0;153;32.21;44;44;1905;1025;0;23;30.93;44;44;273;4178;0;0;46.89;46.89;46.89
01.01.2024 10:00:00;01.01.2024 10:15:00;0;710;0;0;47.71;48;48;992;6488;0;0;47.71;48;48;1655;1936;0;102;41.34;48;48;2070;1002;0;0;32.99;48;48;401;4029;0;0;47.71;48;48
01.01.2024 10:15:00;01.01.2024 10:30:00;0;710;0;0;47.71;48;48;992;6488;0;0;47.71;48;48;1655;1936;0;102;41.34;48;48;2070;1002;0;0;32.99;48;48;401;4029;0;0;47.71;48;48
01.01.2024 10:30:00;01.01.2024 10:45:00;0;710;0;0;47.71;48;48;992;6488;0;0;47.71;48;48;1655;1936;0;0;41.34;48;48;2070;1002;0;0;32.99;48;48;401;4029;0;0;47.71;48;48
01.01.2024 10:45:00;01.01.2024 11:00:00;0;710;0;0;47.71;48;48;992;6488;0;0;47.71;48;48;1655;1936;0;0;41.34;48;48;2070;1002;0;0;32.99;48;48;401;4029;0;0;47.71;48;48
01.01.2024 11:00:00;01.01.2024 11:15:00;0;789;0;0;52.51;52.51;52.51;1219;6091;0;0;52.51;52.51;52.51;1647;1930;0;0;43.51;43.51;43.51;2133;941;0;0;35.56;35.56;35.56;473;3918;0;0;52.51;52.51;52.51
01.01.2024 11:15:00;01.01.2024 11:30:00;0;789;0;0;52.51;52.51;52.51;1219;6091;0;0;52.51;52.51;52.51;1647;1930;0;0;43.51;43.51;43.51;2133;941;0;0;35.56;35.56;35.56;473;3918;0;0;52.51;52.51;52.51
01.01.2024 11:30:00;01.01.2024 11:45:00;0;789;0;0;52.51;52.51;52.51;1219;6091;0;0;52.51;52.51;52.51;1647;1930;0;0;43.51;43.51;43.51;2133;941;0;0;35.56;35.56;35.56;473;3918;0;0;52.51;52.51;52.51
01.01.2024 11:45:00;01.01.2024 12:00:00;0;789;0;0;52.51;52.51;52.51;1219;6091;0;0;52.51;52.51;52.51;1647;1930;0;0;43.51;43.51;43.51;2133;941;0;0;35.56;35.56;35.56;473;3918;0;0;52.51;52.51;52.51
01.01.2024 12:00:00;01.01.2024 12:15:00;0;734;0;0;56.57;60;60;1514;5781;0;0;56.57;60;60;1668;1896;0;0;43.02;60;60;2144;941;0;0;35.56;35.56;48;535;3865;0;0;56.57;60;60
01.01.2024 12:15:00;01.01.2024 12:30:00;0;734;0;58;56.57;60;60;1514;5781;0;0;56.57;60;60;1668;1896;0;351;43.02;60;60;2144;941;0;0;35.56;35.56;48;535;3865;0;16;56.57;60;60
01.01.2024 12:30:00;01.01.2024 12:45:00;0;734;0;58;56.57;60;60;1514;5781;0;0;56.57;60;60;1668;1896;0;351;43.02;60;60;2144;941;0;0;35.56;35.56;48;535;3865;0;16;56.57;60;60
01.01.2024 12:45:00;01.01.2024 13:00:00;0;734;0;58;56.57;60;60;1514;5781;0;0;56.57;60;60;1668;1896;0;351;43.02;60;60;2144;941;0;0;35.56;35.56;48;535;3865;0;16;56.57;60;60
01.01.2024 13:00:00;01.01.2024 13:15:00;0;753;0;58;59.82;60;60;1845;5416;0;0;59.82;60;60;1722;1755;0;275;44.29;60;60;2160;911;0;0;38.14;38.14;48;583;3797;0;16;59.82;60;60
01.01.2024 13:15:00;01.01.2024 13:30:00;0;753;0;58;59.82;60;60;1845;5416;0;0;59.82;60;60;1722;1755;0;275;44.29;60;60;2160;911;0;0;38.14;38.14;48;583;3797;0;16;59.82;60;60
01.01.2024 13:30:00;01.01.2024 13:45:00;0;753;0;58;59.82;60;60;1845;5416;0;0;59.82;60;60;1722;1755;0;275;44.29;60;60;2160;911;0;0;38.14;38.14;48;583;3797;0;16;59.82;60;60
01.01.2024 13:45:00;01.01.2024 14:00:00;0;753;0;58;59.82;60;60;1845;5416;0;0;59.82;60;60;1722;1755;0;275;44.29;60;60;2160;911;0;0;38.14;38.14;48;583;3797;0;16;59.82;60;60
01.01.2024 14:00:00;01.01.2024 14:15:00;0;763;0;0;62.06;71;71;2109;5028;0;0;62.06;71;71;1759;1690;0;277;46.24;71;71;2154;911;0;0;38.14;38.14;48;680;3703;0;0;62.06;71;71
01.01.2024 14:15:00;01.01.2024 14:30:00;0;763;0;0;62.06;71;71;2109;5027;0;0;62.06;71;71;1759;1690;0;315;46.24;71;71;2154;911;0;0;38.14;38.14;48;680;3703;0;317;62.06;71;71
01.01.2024 14:30:00;01.01.2024 14:45:00;0;763;0;0;62.06;71;71;2109;5028;0;0;62.06;71;71;1759;1690;0;322;46.24;71;71;2154;911;0;0;38.14;38.14;48;680;3703;0;317;62.06;71;71
01.01.2024 14:45:00;01.01.2024 15:00:00;0;763;0;0;62.06;71;71;2109;5028;0;0;62.06;71;71;1759;1690;0;322;46.24;71;71;2154;911;0;0;38.14;38.14;48;680;3703;0;317;62.06;71;71
01.01.2024 15:00:00;01.01.2024 15:15:00;14;610;0;0;62.52;71;71;2221;4717;0;15;62.52;71;71;1943;1479;0;167;50.61;71;71;2162;911;0;0;38.14;38.14;38.14;835;3544;0;161;62.52;71;71
01.01.2024 15:15:00;01.01.2024 15:30:00;14;610;0;0;62.52;71;71;2221;4717;0;15;62.52;71;71;1943;1479;0;167;50.61;71;71;2162;911;0;0;38.14;38.14;38.14;835;3544;0;161;62.52;71;71
01.01.2024 15:30:00;01.01.2024 15:45:00;14;610;0;0;62.52;71;71;2221;4717;0;15;62.52;71;71;1943;1479;0;167;50.61;71;71;2162;911;0;0;38.14;38.14;38.14;835;3544;0;161;62.52;71;71
01.01.2024 15:45:00;01.01.2024 16:00:00;14;610;0;0;62.52;71;71;2221;4717;0;15;62.52;71;71;1943;1479;0;167;50.61;71;71;2162;911;0;0;38.14;38.14;38.14;835;3544;0;161;62.52;71;71
01.01.2024 16:00:00;01.01.2024 16:15:00;14;621;0;0;63.19;71;71;2841;3906;0;63;63.19;71;71;2080;1311;0;27;59.47;71;71;2163;908;0;0;39.55;39.55;39.55;981;3364;0;110;63.19;71;71
01.01.2024 16:15:00;01.01.2024 16:30:00;14;621;0;0;63.19;71;71;2841;3905;0;63;63.19;71;71;2080;1311;0;27;59.47;71;71;2163;908;0;0;39.55;39.55;39.55;981;3364;0;110;63.19;71;71
01.01.2024 16:30:00;01.01.2024 16:45:00;14;621;0;0;63.19;71;71;2841;3907;0;63;63.19;71;71;2080;1311;0;27;59.47;71;71;2163;908;0;0;39.55;39.55;39.55;981;3364;0;110;63.19;71;71
01.01.2024 16:45:00;01.01.2024 17:00:00;14;621;0;0;63.19;71;71;2841;3907;0;63;63.19;71;71;2080;1311;0;27;59.47;71;71;2163;908;0;0;39.55;39.55;39.55;981;3364;0;110;63.19;71;71
01.01.2024 17:00:00;01.01.2024 17:15:00;14;537;0;0;64.99;73;73;3632;3184;0;0;64.99;73;73;2120;1244;0;0;64.99;73;73;2184;892;0;0;40.25;40.25;40.25;1019;3324;0;144;64.99;73;73
01.01.2024 17:15:00;01.01.2024 17:30:00;14;537;0;0;64.99;73;73;3632;3184;0;0;64.99;73;73;2120;1244;0;0;64.99;73;73;2184;892;0;0;40.25;40.25;40.25;1019;3324;0;144;64.99;73;73
01.01.2024 17:30:00;01.01.2024 17:45:00;14;537;0;0;64.99;73;73;3632;3183;0;0;64.99;73;73;2120;1244;0;0;64.99;73;73;2184;892;0;0;40.25;40.25;40.25;1019;3324;0;219;64.99;73;73
01.01.2024 17:45:00;01.01.2024 18:00:00;14;537;0;0;64.99;73;73;3622;3194;0;16;64.99;73;73;2120;1244;0;0;64.99;73;73;2184;892;0;0;40.25;40.25;40.25;1019;3324;0;219;64.99;73;73
01.01.2024 18:00:00;01.01.2024 18:15:00;14;581;0;0;63.58;73;73;3329;3538;0;28;63.58;73;73;2099;1267;0;0;61.74;73;73;2161;911;0;0;38.14;38.14;38.14;895;3453;0;276;63.58;73;73
01.01.2024 18:15:00;01.01.2024 18:30:00;14;581;0;0;63.58;73;73;2942;3848;0;34;63.58;73;73;2099;1267;0;0;61.74;73;73;2161;911;0;0;38.14;38.14;38.14;895;3453;0;276;63.58;73;73
01.01.2024 18:30:00;01.01.2024 18:45:00;14;581;0;0;63.58;73;73;2942;3848;0;164;63.58;73;73;2099;1267;0;8;61.74;73;73;2161;911;0;0;38.14;38.14;38.14;895;3462;0;276;63.58;73;73
01.01.2024 18:45:00;01.01.2024 19:00:00;14;581;0;0;63.58;73;73;2942;3848;0;164;63.58;73;73;2099;1267;0;8;61.74;73;73;2161;911;0;0;38.14;38.14;38.14;895;3462;0;201;63.58;73;73
01.01.2024 19:00:00;01.01.2024 19:15:00;14;563;0;11;63.1;70;70;2938;3886;0;38;63.1;70;70;1997;1333;0;25;55.07;70;70;2161;911;0;0;38.14;38.14;38.14;866;3534;0;146;63.1;70;70
01.01.2024 19:15:00;01.01.2024 19:30:00;14;563;0;0;63.1;70;70;2937;3885;0;0;63.1;70;70;1997;1333;0;12;55.07;70;70;2161;911;0;0;38.14;38.14;38.14;866;3534;0;0;63.1;70;70
01.01.2024 19:30:00;01.01.2024 19:45:00;14;563;0;0;63.1;70;70;2937;3886;0;0;63.1;70;70;1997;1333;0;12;55.07;70;70;2161;911;0;0;38.14;38.14;38.14;851;3549;0;0;63.1;70;70
01.01.2024 19:45:00;01.01.2024 20:00:00;14;563;0;0;63.1;70;70;2650;4171;0;0;63.1;70;70;1997;1333;0;12;55.07;70;70;2161;911;0;0;38.14;38.14;38.14;837;3563;0;0;63.1;70;70
01.01.2024 20:00:00;01.01.2024 20:15:00;14;598;0;0;62.15;62.15;62.15;2154;4984;0;0;62.15;62.15;62.15;1794;1564;0;77;48.01;54;54;2149;941;0;0;35.56;35.56;35.56;576;3765;0;0;62.15;62.15;62.15
01.01.2024 20:15:00;01.01.2024 20:30:00;14;598;0;0;62.15;62.15;62.15;2133;5005;0;0;62.15;62.15;62.15;1794;1564;0;77;48.01;54;54;2149;941;0;0;35.56;35.56;35.56;552;3846;0;0;62.15;62.15;62.15
01.01.2024 20:30:00;01.01.2024 20:45:00;14;598;0;0;62.15;62.15;62.15;2133;5005;0;0;62.15;62.15;62.15;1794;1564;0;77;48.01;54;54;2149;941;0;0;35.56;35.56;35.56;552;3859;0;0;62.15;62.15;62.15
01.01.2024 20:45:00;01.01.2024 21:00:00;14;598;0;0;62.15;62.15;62.15;2133;5005;0;0;62.15;62.15;62.15;1794;1564;0;77;48.01;54;54;2149;941;0;0;35.56;35.56;35.56;552;3859;0;0;62.15;62.15;62.15
01.01.2024 21:00:00;01.01.2024 21:15:00;0;685;0;0;58.27;58.27;58.27;1679;5558;0;0;58.27;58.27;58.27;1670;1827;83;0;14.13;14.13;44.01;2148;941;0;0;35.56;35.56;35.56;471;3955;0;0;58.27;58.27;58.27
01.01.2024 21:15:00;01.01.2024 21:30:00;0;685;0;0;58.27;58.27;58.27;1679;5558;0;0;58.27;58.27;58.27;1670;1827;83;0;14.13;14.13;44.01;2148;941;0;0;35.56;35.56;35.56;471;3955;0;0;58.27;58.27;58.27
01.01.2024 21:30:00;01.01.2024 21:45:00;0;685;0;0;58.27;58.27;58.27;1679;5558;0;0;58.27;58.27;58.27;1670;1827;83;0;14.13;14.13;44.01;2148;941;0;0;35.56;35.56;35.56;471;3955;0;0;58.27;58.27;58.27
01.01.2024 21:45:00;01.01.2024 22:00:00;0;685;0;0;58.27;58.27;58.27;1679;5557;0;0;58.27;58.27;58.27;1670;1827;83;0;14.13;14.13;44.01;2148;941;0;0;35.56;35.56;35.56;471;3955;0;0;58.27;58.27;58.27
01.01.2024 22:00:00;01.01.2024 22:15:00;0;688;0;0;52.58;52.58;52.58;1359;5928;0;0;52.58;52.58;52.58;1629;1852;45;0;22.5;22.5;45.2;2106;965;414;0;22.5;22.5;35.56;412;4011;0;0;52.58;52.58;52.58
01.01.2024 22:15:00;01.01.2024 22:30:00;0;688;0;0;52.58;52.58;52.58;1359;5928;0;0;52.58;52.58;52.58;1629;1852;45;0;22.5;22.5;45.2;2106;965;414;0;22.5;22.5;35.56;412;4011;0;0;52.58;52.58;52.58
01.01.2024 22:30:00;01.01.2024 22:45:00;0;688;0;0;52.58;52.58;52.58;1359;5928;0;0;52.58;52.58;52.58;1629;1852;45;0;22.5;22.5;45.2;2106;965;414;0;22.5;22.5;35.56;412;4011;0;0;52.58;52.58;52.58
01.01.2024 22:45:00;01.01.2024 23:00:00;0;688;0;0;52.58;52.58;52.58;1359;5928;0;0;52.58;52.58;52.58;1629;1852;45;0;22.5;22.5;45.2;2106;965;414;0;22.5;22.5;35.56;412;4011;0;0;52.58;52.58;52.58
01.01.2024 23:00:00;01.01.2024 23:15:00;0;702;0;0;44.03;44.03;44.03;898;6562;0;0;44.03;44.03;44.03;1608;1891;0;0;21;21;38;2052;1011;208;0;21;21;35.01;385;4297;0;0;50.93;50.93;50.93
01.01.2024 23:15:00;01.01.2024 23:30:00;0;702;0;0;44.03;44.03;44.03;898;6562;0;0;44.03;44.03;44.03;1608;1891;0;0;21;21;38;2052;1011;208;0;21;21;35.01;385;4297;0;0;50.93;50.93;50.93
01.01.2024 23:30:00;01.01.2024 23:45:00;0;702;0;0;44.03;44.03;44.03;898;6562;0;0;44.03;44.03;44.03;1608;1891;29;0;21;21;38;2052;1011;548;0;21;21;35.01;385;4297;0;0;50.93;50.93;50.93
01.01.2024 23:45:00;02.01.2024 00:00:00;0;702;0;0;44.03;44.03;44.03;898;6562;0;0;44.03;44.03;44.03;1608;1891;29;0;21;21;38;2052;1011;548;0;21;21;35.01;385;4297;0;0;50.93;50.93;50.93
02.01.2024 00:00:00;02.01.2024 00:15:00;0;589;0;0;38;38;38;643;6508;0;0;38;38;38;1692;1469;21;0;21;21;38;1944;637;562;0;21;21;32.65;529;4075;0;0;60.28;60.28;60.28
02.01.2024 00:15:00;02.01.2024 00:30:00;0;589;0;0;38;38;38;643;6508;0;0;38;38;38;1692;1469;21;0;21;21;38;1944;637;562;0;21;21;32.65;529;4075;0;0;60.28;60.28;60.28
02.01.2024 00:30:00;02.01.2024 00:45:00;0;589;0;0;38;38;38;643;6508;0;0;38;38;38;1692;1469;21;0;21;21;38;1944;668;562;0;21;21;32.65;529;4142;0;0;60.28;60.28;60.28
02.01.2024 00:45:00;02.01.2024 01:00:00;0;589;0;0;38;38;38;643;6508;0;0;38;38;38;1692;1469;21;0;21;21;38;1944;668;562;0;21;21;32.65;529;4142;0;0;60.28;60.28;60.28
02.01.2024 01:00:00;02.01.2024 01:15:00;0;741;0;0;33.56;33.56;33.56;657;6511;0;0;33.56;33.56;33.56;1698;1469;21;0;21;21;33.56;2022;668;635;0;21;21;32.74;537;4284;0;0;58.45;58.45;58.45
02.01.2024 01:15:00;02.01.2024 01:30:00;0;741;0;0;33.56;33.56;33.56;657;6511;0;0;33.56;33.56;33.56;1698;1469;21;0;21;21;33.56;2022;668;635;0;21;21;32.74;537;4284;0;0;58.45;58.45;58.45
02.01.2024 01:30:00;02.01.2024 01:45:00;0;741;0;0;33.56;33.56;33.56;657;6511;0;0;33.56;33.56;33.56;1698;1469;21;0;21;21;33.56;2022;668;635;0;21;21;32.74;537;4284;0;0;58.45;58.45;58.45
02.01.2024 01:45:00;02.01.2024 02:00:00;0;741;0;0;33.56;33.56;33.56;657;6511;0;0;33.56;33.56;33.56;1698;1469;21;0;21;21;33.56;2022;668;635;0;21;21;32.74;537;4284;0;0;58.45;58.45;58.45
02.01.2024 02:00:00;02.01.2024 02:15:00;0;741;0;0;32.03;32.03;32.03;645;6508;0;0;32.03;32.03;32.03;1636;1469;21;0;21;21;32.03;1954;702;566;0;21;21;32.03;533;4287;0;0;58.14;58.14;58.14
02.01.2024 02:15:00;02.01.2024 02:30:00;0;741;0;0;32.03;32.03;32.03;645;6508;0;0;32.03;32.03;32.03;1636;1469;21;0;21;21;32.03;1954;702;566;0;21;21;32.03;533;4287;0;0;58.14;58.14;58.14
02.01.2024 02:30:00;02.01.2024 02:45:00;0;741;0;0;32.03;32.03;32.03;645;6508;0;0;32.03;32.03;32.03;1636;1469;21;0;21;21;32.03;1954;702;566;0;21;21;32.03;533;4287;0;0;58.14;58.14;58.14
02.01.2024 02:45:00;02.01.2024 03:00:00;0;741;0;0;32.03;32.03;32.03;645;6508;0;0;32.03;32.03;32.03;1636;1469;21;0;21;21;32.03;1954;702;566;0;21;21;32.03;533;4287;0;0;58.14;58.14;58.14
02.01.2024 03:00:00;02.01.2024 03:15:00;0;741;0;0;32.29;32.29;32.29;642;6508;0;0;32.29;32.29;32.29;1640;1466;21;0;17.5;17.5;32.29;1968;697;577;0;17.5;17.5;32.29;557;4309;0;0;57.55;57.55;57.55
02.01.2024 03:15:00;02.01.2024 03:30:00;0;741;0;0;32.29;32.29;32.29;642;6508;0;0;32.29;32.29;32.29;1640;1466;21;0;17.5;17.5;32.29;1968;697;687;0;17.5;17.5;32.29;557;4309;0;0;57.55;57.55;57.55
02.01.2024 03:30:00;02.01.2024 03:45:00;0;741;0;0;32.29;32.29;32.29;642;6508;0;0;32.29;32.29;32.29;1640;1466;21;0;17.5;17.5;32.29;1968;697;687;0;17.5;17.5;32.29;557;4309;0;0;57.55;57.55;57.55
